,GLOBAL_ID,LOCAL_ID,processed_txt,date,_date_,WoY
0,0,0,"yeah it always be some old caribbean dude headed to flatbush on my train scowling at me and they want me to see them doing it. they stop once i get loud though. this nyc, you cannot stare at anyone here. laugh",2020-12-03 23:57:17+00:00,2020-12-03,2020-48
1,1,1,i was out of ny for too long taking the train be making me nauseous now,2020-12-03 23:47:30+00:00,2020-12-03,2020-48
2,2,2,i am not in the mood to be stared at because i am different and male presenting lesbian by some old caribbean man intent on judging me. somebody bout to get cursed out on this train. https: and and t.co and e9tuiwtfao,2020-12-03 23:46:33+00:00,2020-12-03,2020-48
3,3,3,imagine if he knew how sent you on the subway to get popeyes the week before....,2020-12-03 23:30:06+00:00,2020-12-03,2020-48
4,4,7,remember when you could not get cell service in the subway... damn,2020-12-03 23:16:09+00:00,2020-12-03,2020-48
5,5,9,we almost did not make it out the subway and the doors straight up shut on me and i had to hulk them open,2020-12-03 23:10:14+00:00,2020-12-03,2020-48
6,6,11,"commute felt like the old days today. went to the q, it was out of service. walked to fifth avenue nrw, got a w which then went out of service. finally switched to an are to get to 34th and the path. ah, the mta!",2020-12-03 22:38:58+00:00,2020-12-03,2020-48
7,7,18,"""it is not a short tunnel."" i guarantee you he also obsesses about the subway tunnels.",2020-12-03 21:39:48+00:00,2020-12-03,2020-48
8,8,19,just noticed the mta (?) installed stee bollards next to the new elevator. more steel bollards please https: and and t.co and fycdzlvyl4,2020-12-03 21:39:35+00:00,2020-12-03,2020-48
9,9,20,too bad the mta has done nothing to increase service on 4th ave. we need to reconnect the city and it is transit. that is the only way we grow in a sane way.,2020-12-03 21:30:09+00:00,2020-12-03,2020-48
10,10,21,crooked mta! governor cuomo time to get rid of the mta. https: and and t.co and t0hhzpyctl,2020-12-03 21:29:23+00:00,2020-12-03,2020-48
11,11,22,"i am at mta subway 63rd dr and rego park (m and r) in rego park, ny https: and and t.co and hbdnrks4he",2020-12-03 21:25:52+00:00,2020-12-03,2020-48
12,12,23,"can you tell the 96st station to move one of their train to the tracks beyond their stations, so this one can pull over",2020-12-03 21:17:19+00:00,2020-12-03,2020-48
